,inet6num,name,inetnum,primary-key
0,,"Bundesverfassungsgericht|Karlsruhe, Germany||",193.197.84.0 - 193.197.84.7,224854
1,2003:44:8023::/48,BUNDESLIEGENSCHAFT-NET30|,,13182068
2,2003:5e:2017::/48,BUNDESLIEGENSCHAFT|,,14925176
3,2003:58:802b::/48,BUNDESLIEGENSCHAFT-NET|,,14244230
4,2003:40:c025::/48,BUNDESLIEGENSCHAFT-NET|,,14313410
5,2003:57:c06a::/48,BUNDESLIEGENSCHAFT-NET|,,14284551
6,2003:56:a02c::/48,BUNDESLIEGENSCHAFT-NET43|,,13331066
7,2003:45:c03f::/48,BUNDESLIEGENSCHAFT|,,13424194
8,2003:48:8024::/48,BUNDESLIEGENSCHAFT-NET|,,14451347
9,2003:46:e026::/48,BUNDESLIEGENSCHAFT-NET|,,14563184
10,2003:40:402a::/48,BUNDESLIEGENSCHAFT-NET|,,14564859
11,2003:4a:c055::/48,BUNDESLIEGENSCHAFT-NET|,,14564867
12,2003:44:8083::/48,BUNDESLIEGENSCHAFT-NET|,,14565678
13,2003:40:a016::/48,BUNDESLIEGENSCHAFT-NET|,,14148139
14,2003:5d:c06a::/48,BUNDESLIEGENSCHAFT|,,15636642
15,2003:8c:4011::/48,BUNDESLIEGENSCHAFT|,,15613834
16,2003:44:e03b::/48,TSI fuer Bundeskanzleramt||BUNDESLIEGENSCHAFT-BERLIN-NET10|,,17660399
17,,Bundesliegenschaft-NET5|,80.157.135.16 - 80.157.135.23,5595778
18,,Bundesliegenschaft-NET1|,217.89.77.120 - 217.89.77.127,5626276
19,,BUNDESLIEGENSCHAFT|,193.158.101.96 - 193.158.101.103,13967996
20,,BUNDESLIEGENSCHAFT|,80.150.120.80 - 80.150.120.95,14868525
21,,BUNDESLIEGENSCHAFT-NET12|,80.149.24.208 - 80.149.24.215,12754913
22,,BUNDESLIEGENSCHAFT-NET41|,195.243.102.200 - 195.243.102.207,12828957
23,,BUNDESLIEGENSCHAFT-NET35|,195.145.59.112 - 195.145.59.119,12906600
24,,BUNDESLIEGENSCHAFT-NET36|,212.184.8.192 - 212.184.8.199,12906601
25,,BUNDESLIEGENSCHAFT-NET40|,217.7.28.120 - 217.7.28.127,12906648
26,,BUNDESLIEGENSCHAFT-NET39|,195.145.57.128 - 195.145.57.135,12906641
27,,BUNDESLIEGENSCHAFT-NET15|,80.149.27.160 - 80.149.27.167,12818128
28,,BUNDESLIEGENSCHAFT-NET16|,80.149.27.192 - 80.149.27.199,12818248
29,,BUNDESLIEGENSCHAFT-NET22|,80.154.131.168 - 80.154.131.175,12828772
30,,BUNDESLIEGENSCHAFT-NET21|,80.154.131.160 - 80.154.131.167,12828762
31,,Bundesliegenschaft-NET9|,80.150.149.24 - 80.150.149.31,13509029
32,,BUNDESLIEGENSCHAFT-NET|,217.6.108.232 - 217.6.108.239,13632778
33,,Bundesliegenschaft-NET6|,217.6.126.0 - 217.6.126.7,13718843
35,,BUNDESLIEGENSCHAFT-NET10|,193.159.252.144 - 193.159.252.151,12761688
36,,BUNDESLIEGENSCHAFT-NET8|,80.149.24.168 - 80.149.24.175,12754839
37,,BUNDESLIEGENSCHAFT-NET11|,80.149.24.176 - 80.149.24.183,12754842
38,,BUNDESLIEGENSCHAFT-NET17|,62.159.110.88 - 62.159.110.95,13243640
39,,BUNDESLIEGENSCHAFT-NET43|,193.158.239.224 - 193.158.239.231,13326148
40,,BUNDESLIEGENSCHAFT-NET30|,217.5.129.160 - 217.5.129.167,13286342
41,,BUNDESLIEGENSCHAFT-NET18|,80.149.133.128 - 80.149.133.135,12821922
42,,BUNDESLIEGENSCHAFT-NET20|,80.154.131.144 - 80.154.131.151,12828753
43,,BUNDESLIEGENSCHAFT-NET11|,193.158.46.96 - 193.158.46.103,12812047
44,,BUNDESLIEGENSCHAFT-NET31|,193.158.45.160 - 193.158.45.167,12812620
45,,BUNDESLIEGENSCHAFT-NET42|,217.7.52.128 - 217.7.52.135,12830189
46,,BUNDESLIEGENSCHAFT-NET26|,80.154.134.16 - 80.154.134.23,12849309
47,,BUNDESLIEGENSCHAFT-NET38|,193.159.161.144 - 193.159.161.151,12821490
48,,BUNDESLIEGENSCHAFT-NET9|,62.153.82.232 - 62.153.82.239,12845832
50,,BUNDESLIEGENSCHAFT-NET24|,80.154.133.240 - 80.154.133.247,12849303
51,,BUNDESLIEGENSCHAFT-NET28|,80.154.134.40 - 80.154.134.47,12849315
52,,BUNDESLIEGENSCHAFT-NET27|,80.154.134.24 - 80.154.134.31,12849311
53,,BUNDESLIEGENSCHAFT-NET34|,217.7.114.120 - 217.7.114.127,12906597
54,,BUNDESLIEGENSCHAFT-NET30|,193.158.45.144 - 193.158.45.151,12812583
55,,BUNDESLIEGENSCHAFT-NET33|,193.158.45.184 - 193.158.45.191,12812659
56,,BUNDESLIEGENSCHAFT-NET37|,193.158.46.120 - 193.158.46.127,12812135
57,,BUNDESLIEGENSCHAFT-NET13|,80.149.27.128 - 80.149.27.135,12818085
65,,BUNDESLIEGENSCHAFT-NET10|,62.157.143.248 - 62.157.143.255,12845959
