,descr,netname
140,Bundesnotarkammer|,BNOTK-NET
141,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-MUENCHEN-NET
142,TSI fuer Deutsche Bundesbank|,BUNDESBANK-DUESSELDORF-NET
143,TSI fuer Deutsche Bundesbank|,BUNDESBANK-LEIPZIG-NET
144,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-HAMBURG-NET
145,TSI fuer Deutsche Bundesbank|,BUNDESBANK-MAINZ-NET
146,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-STUTTGART-NET
147,TSI fuer Deutsche Bundesbank|,BUNDESBANK-BERLIN-NET
148,SVG Bundes-Zentralgenos. Strassenverkehr eG|,SVG-STRASSENVERKEHR-MANNHEIM-NET
149,Verbraucherzentrale Bundesverband e.V. Energieberatung|,VERBRAUCHERZENTRALE-BUNDESVERBAND-EV-ENERGIEBERATUNG
154,Bundesarbeitgeberverband Chemie e.V.|,BUNDESARBEITGEBERVERBANDCHEMIE-WIESBADEN-NET
158,Bundesanzeiger Verlagsgesellschaft mbH                Amsterdamer Str. 192                D-50735 Koeln|,DE-BANZ
160,IVU Traffic Technologies AG|Bundesallee 88|12161 Berlin|,DE-HE-V6-SYSTEMS-NET
163,Bundesverband der Deutschen Giesserei-Industrie (BDG)|,BUNDESVERBAND-DER-DEUTSCHEN-GIESSEREI-DUESSELDORF-NET
164,Gemeinsamer Bundesausschuss nach  91 SGB V|,GEMEINSAMER-BUNDESAUSSCHUSS-BERLIN-NET
166,TSI fuer Deutsche Bundesbank|,BUNDESBANK-FACHHOCHSCHULE-HACHENBURG-NET
167,Bundesverband Freier Radios e.V.|,BUNDESVERBAND-FREIER-RADIOS-EV
172,Österreichischer Bundesverlag Schulbuch GmbH & Co.KG|,OESTERREICHISCHER-BUNDESVERLAG-SCHULBUCH-GMBH-UND-COKG
181,Volleyball Bundesliga GmbH|,VOLLEYBALL-BUNDESLIGA-BERLIN-NET
188,Österreichischer Bundesverlag Schulbuch GmbH & Co.KG|,OESTERREICHISCHER-BUNDESVERLAG-SCHULBUCH-GMBH-UND-COKG
189,Bildungszentrum der Bundesfinanzverwaltung Muenster|,BILDUNGSZENTRUM-DER-BUNDESFINANZVERWALTUNG-MUENSTER-NET
192,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-HANNOVER-NET
195,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-WIESBADEN-NET
196,TSI fuer Deutsche Bundesbank|,BUNDESBANK-FACHHOCHSCHULE-HACHENBURG-NET
198,TSI fuer Deutsche Bundesbank|,E-SHELTER-FRANKFURT-NET
202,Bundesvereinigung Kulturelle Kinder- u. Jugendbildung e.V.|,BV-KULTURELLE-KINDER-U-JUGENDBILDUNG-REMSCHEID-NET
204,Gemeinsamer Bundesausschuss nach  91 SGB V|,GEMEINSAMER-BUNDESAUSSCHUSS-BERLIN-NET4
208,Org-02|,Org-02
219,REFA Bundesverband|,REFA-BUNDESVERBAND-DORTMUND-NET
220,Verbraucherzentrale Bundesverband e.V. Energieprojekte|,VERBRAUCHERZENTRALE-BUNDESVERBAND-EV-ENERGIEPROJEKTE
233,Bundesverband der Energie- Abnehmer|,BUNDESVERBAND-DER-ENERGIE-ABNEHMER-HANNOVER-NET
236,Verbraucherzentrale Bundesverband e.V. Energieprojekte|,VERBRAUCHERZENTRALE-BUNDESVERBAND-EV-ENERGIEPROJEKTE
239,TSI fuer VBL Versorgungs anstalt d. Bundes u. d. Laender|,VBL-KARLSRUHE-NET
250,Verbraucherzentrale Bundesverband e.V. Energieberatung|,VERBRAUCHERZENTRALE-BUNDESVERBAND-EV-ENERGIEBERATUNG
278,"BVMW-Bundesverband mittelstaendische Wirtschaft,|",BVMW-BERLIN-NET
284,TSI fuer Grenzschutzpraesidium Nord|,BUNDESPOLIZEIDIREKTION-BAD-BRAMSTEDT-NET
290,TSI fuer DuMont Systems GmbH &CO KG|,BUNDESANZEIGER-VERLAG-KOELN-NET
307,Org-01|,Org-01
321,TSI fuer Deutsche Bundesbank|,BUNDESBANK-ZENTRALE-FRANKFURT-NET
330,Bundesweite Intensiv-Pflege-Ges. mbH|,BIPG-HANNOVER-NET
346,Rote Raben BundesligabetriebsGmbH|,ROTE-RABEN-BUNDESLIGABETRIEB-VILSBIBURG-NET
363,Kneipp Bund e.V. Bundesver- band fuer Gesundheitsfoerderung|,KNEIPP-BUND-BAD-WOERISHOFEN-NET
366,Bundesarbeitsgemeinschaft fuerRehabilitation e.V.|,BAR-FRANKFURT-NET
368,Telekom Deutschland GmbH CO Bereich BV|,BUNDESSTADT-HOTSPOT-BONN-NET
370,Deutscher Bundesverband fuer Logopaedie e.V.|,DEUTSCHER-BUNDESVERBAND-FUER-LOGOPAEDIE-FRECHEN-NET
375,Bundesautobahn Tankstelle Weber|,RASTSTAETTE-WEST-HOCKENHEIM-NET
376,TSI fuer Union KIT GmbH|,VER-DI-BUNDESVERWALTUNG-BERLIN-NET
378,BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.|,BDEW-BERLIN-NET
385,Bundesautobahn Tankstelle Weber|,ARAL-TANKSTELLE-HOCKENHEIM-NET
392,TSI fuer BDH Bundesverband Rehabilitation e.V.|,BDH-KLINIKEN-BRAUNFELS-NET
396,Bundesverein der dt Ernaehrungsindustrie|,BUNDESVEREIN-DER-DT-ERNAEHRUNGSINDUSTRIE-BERLIN-NET
397,FDP-Bundesgeschaeftsstelle|,TEMP-TO-20180107-STAATSTHEATER-STUTTGART-NET
399,Bundesverband Deutscher Fertigbau|,BUNDESVERBAND-DEUTSCHER-FERTIGBAU-BADHONNEF-NET
401,FDP-Bundesgeschaeftsstelle|,STATION-BERLIN-NET
402,FDP-Bundesgeschaeftsstelle|,TEMP-TO-20180513-STATION-BERLIN-NET2
403,pro familia - Bundesverband|,PRO-FAMILIA-BUNDESVERBAND
405,Bundeskanzler-Willy-Brandt-Stiftung|Königstr. 21|D-23552 Lübeck|Germany|,BKWBS-NET
419,Aktiva Immobilien im Breisgau GmbH|Alte Bundesstr. 15|D-79194 Gundelfingen|Germany|,AKTIVAIM-NET
423,Bundesverband Neue Energiewirtschaft e.V.|,QSC-CUSTOMER-582685-308001
425,"Joh. K. Sauer Insovenzverwalter Gueterkraftverkehruntern. d. Bundesbahn e.G|Sprendlinger Landstr.  175, 63069 Offenbach|",K-SAUER-NET
426,DLRG e.V.|Bundeszentrum|Im Niedernfeld 2|31542 Bad Nenndorf|,TAL-ADSL-DLRG-A
427,DLRG e.V.|Bundeszentrum|Im Niedernfeld 2|31542 Bad Nenndorf|,TAL-ADSL-DLRG-A
431,Bundesvereinigung e.V.|Schlachte 31|D-28195 Bremen|,BUNDESVEREINIGUNG-EV-NET
435,Bundesnotarkammer|Mohrenstrasse 34|D-10117 Berlin|,BNOTK-NET
437,Bundesknappschaft|,BUNDESKNAPPSCHAFT-BOCHUM-NET
438,Bundesverband Digitale Wirtschaft (BVDW)|,QSC-CUSTOMER-673678-873723
439,Bundesverband Praktiezierender Tieraerzt e.V.|,QSC-CUSTOMER-573423-372222
440,Kinder- und Jugendtheaterzentrum  in der Bundesrepublik Deutschland ASSITEJ e.V.|Schuetzenstrasse 12|60311|Frankfurt|,KJTZ-FRANKFURT-NET
441,Bundesinnungsverband fuer Orthopaedie-Technik|Reinoldistrasse 7 -9|44135 Dortmund|,VT-CUSTOMER-W-6470336
442,Bundesvereinigung Kulturelle Jugendbildung e.V.|Kueppelstein 34|42857 Remscheid|,VT-CUSTOMER-W-6508821
460,BVI - Bundesverband|Deutscher Investment-Gesellschaften e.V.|Eschenheimer Anlage 28|D-60318 Frankfurt|Germany|,BVI-NET
462,BVI - Bundesverband|Deutscher Investment-Gesellschaften e.V.|Eschenheimer Anlage 28|D-60318 Frankfurt|Germany|,BVI-NET
465,Fachhochschule des Bundes|fuer oeffentliche Verwaltung|Willy-Brandt-Str. 1|D-50321 Bruehl|,FHBUND
466,"Bundes-Verlag GmbH|Bodenborn 43, 58452 Witten|Remote connection to SAP|",SAP-BV-SR-DE
470,"Deutsche Bundesbank Hauptverwaltung Düsseldorf|Berliner Allee 14, 40212 Duesseldorf|Remote connection to SAP|",SAP-DBK-SR-DE
471,Bundesverband Spedition und Logistik e.V.|Weberstr. 77|D-53113 Bonn|,TENOVIS-KOeLN-NET
477,GE Graesslin GmbH & Co. KG|Bundesstr. 36|D-78112 St. Georgen|,graesslin
487,"Deutsche Bundesbank Hauptverwaltung Düsseldorf|Berliner Allee 14, 40212 Duesseldorf|Remote connection to SAP|",SAP-DBK-I22-DE
490,Bundesverband der Deutschen Zementindustrie|Pferdmengestrasse 7|D-50968 Koeln|Germany|,BDZ
503,Kinder- und Jugendtheaterzentrum in der Bundesrepublik Deutschland|Schuetzenstr. 12|D-60311 Frankfurt /Main|,KJTZ
517,Konzept Steuerberatungs GmbH|Bundesallee 220|D-10719 Berlin|,KONZEPT-BERLIN-NET
548,Bundesbahn-Wohnungsbaugesellschaft Regensburg mbH|Luitpoldstr. 14|93047|Regensburg|,BUNDESBAHN-WOHNUNGSBAUGESELLSCHAFT-REGENSBURG-NET
549,VZBV Verbraucherzentrale  Bundesverband e.V. Hr M.Krumm|Markgrafenstr 66|10969|Berlin|,VZBV-BERLIN-NET
550,Bundesverband der Deutschen Volksbanken (BVR) und Raiffeisenbanken|Schellingstr. 4|10785|Berlin|,BVR-BERLIN-NET
552,BVI - Bundesverband|Deutscher Investment-Gesellschaften e.V.|Eschenheimer Anlage 28|D-60318 Frankfurt|Germany|,BVI-NET
555,Arbeiterwohlfahrt Bundesverband e.V.|,AWO-NET
557,Kulturstiftung des Bundes|Halle/Saale|,KULTURSTIFTUNG-DES-BUNDES-NET
558,BUNDESVERBAND DEUTSCHER BANKEN E.V.|,NET-DE-BUNDESVERBAND-DEUTSCHER-BANKEN-EV
560,Bundesfachverband der Arzneimittel-Hersteller e.V.|,BAH-NET
561,Deutsche Bundespost Telecom|D-W-6100 Darmstadt|,TELEKOM-DA2
564,Kunst- und Ausstellungshalle|der Bundesrepublik Deutschland|Bonn|Germany|,BUNDESKUNSTHALLE
565,"Bundeskanzler Willy Brandt-Stiftung|John F. Kennedy-Platz, 10825 Berlin|",WILLY-BRANDT-NET
593,DLRG e.V.|Bundeszentrum|Im Niedernfeld 2|31542 Bad Nenndorf|,TAL-ADSL-DLRG-A
594,TSI fuer Bundesa. fuer Post- u. Telek.|,SOMMER-SONNE-STRAND
595,Service-Bund GmbH & Co.KG Bundeszentrale|Friedhofsallee 126|23554|Luebeck|,SERVICE-BUND-LUeBECK-NET
596,Bundesverband der Deutschen Volksbanken (BVR) und Raiffeisenbanken|Schellingstr. 4|10785|Berlin|,BVR-BERLIN-VOIP-NET
598,AOK Bundesverband|Remote connection to SAP|,SAP-AOKBVB-SR-DE
599,Deutsche Bundespost Telecom|D-W-6100 Darmstadt|,TELEKOM-DA4
600,Deutsche Bundespost Telecom|D-W-6100 Darmstadt|,TELEKOM-DA8
603,"Zentrales Knochenspender-Register fuer die|Bundesrepublik Deutschland GmbH, Ulm|",ZKRD
609,"Bundeswertpapierverwaltung|Bahnhofstrasse 16-18, 61352 Bad Homburg|Remote connection to SAP|",SAP-BWV-I19-DE
613,AOK Bundesverband|Remote connection to SAP|,SAP-AOKBVB01
615,Schulen der Bundesstadt Bonn|,SCHULEN-BONN
617,Bundesstadt Bonn|Remote connection to SAP|,SAP-BUBO-SR-DE
626,Deutsche Bundespost Telecom|D-W-6100 Darmstadt|,TELEKOM-DA5
628,Deutsche Bundespost Telecom|D-W-6100 Darmstadt|,TELEKOM-DA3
629,Deutsche Bundespost Telecom|D-W-6100 Darmstadt|,TELEKOM-DA7
633,BUNDESSTELLE DER KJG E V|,NET-DE-BUNDESSTELLE-DER-KJG-E-V
638,Bildungszentrum Elstal des Bundes|Evangelisch-Freikirchlicher Gemeinden in Deutschland|,CW-DE-ELSTAL-NET
643,Schulen der Bundesstadt Bonn|,SCHULEN-BONN
659,Bundesverwaltung fuer Verkehr- Bau und Wohnungswesen|Robert-Schuman-Platz 1|53175 Bonn|,BVVBW-WAN
661,KATHOLISCHE FRAUENGEMEINSCHAFT DEUTSCHLANDS BUNDESVERBAND EV|,NET-DE-KATHOLISCHE-FRAUENGEMEINSCHAFT
662,ZID der Bundesfinanzverwaltung|,ZID-DER-BUNDESFINANZVERWALTUNG-FRANKFURT-NET
664,Kulturveranstaltungen des Bundes in Berlin GmbH|Schoeneberger Str. 15|10963|Berlin|,KBB-BERLIN-NET
